player_name,player_values
Evan Hull,1405
Tyler Huntley,1404
Hayden Hurst,1400
Zach Wilson,1385
Tyler Scott,1352
Foster Moreau,1348
Malik Davis,1345
Trayveon Williams,1339
Gardner Minshew,1320
Raheem Mostert,1316
Kyle Philips,1291
Laviska Shenault,1281
Jacoby Brissett,1277
Gus Edwards,1275
Chris Rodriguez,1266
Hunter Henry,1253
David Bell,1246
Zonovan Knight,1245
Leonard Fournette,1244
A.T. Perry,1237
Tim Patrick,1219
KJ Hamler,1217
Albert Okwuegbunam,1217
Corey Davis,1207
Jameis Winston,1194
2023 Early 4th,1181
2024 Early 4th,1168
Noah Gray,1167
Charlie Jones,1164
Jalen Tolbert,1162
Joshua Kelley,1158
2023 Mid 4th,1151
Devin Duvernay,1129
Chris Evans,1129
Davis Mills,1118
Hassan Haskins,1116
Aidan O'Connell,1113
Taylor Heinicke,1108
Ty Chandler,1095
Allen Robinson,1093
Tyler Conklin,1090
2023 Late 4th,1088
Kenny McIntosh,1066
Parker Washington,1065
Robert Woods,1056
Kevin Harris,1041
Mike White,1035
Nyheim Hines,1034
2024 Mid 4th,1032
Brenton Strange,1020
Peyton Hendershot,1014
Russell Gage,1012
Dorian Thompson-Robinson,1010
Dontayvion Wicks,994
Jordan Mason,980
Brevin Jordan,976
Taysom Hill,966
Tyrion Davis-Price,966
Malik Willis,960
Calvin Austin ,955
Cordarrelle Patterson,939
2025 Early 4th,934
Richie James,923
Kendrick Bourne,918
Dyami Brown,918
Tutu Atwell,901
Zack Kuntz,883
Noah Brown,880
Amari Rodgers,877
Jarrett Stidham,871
2025 Mid 4th,867
Zack Moss,864
Isaiah McKenzie,862
Austin Hooper,854
2024 Late 4th,832
DeVante Parker,830
Ronald Jones,830
Chase Edmonds,820
Quez Watkins,804
D'Ernest Johnson,798
Clayton Tune,796
Denzel Mims,795
Deon Jackson,787
2025 Late 4th,782
Sterling Shepard,777
Nick Westbrook-Ikhine,775
Deneric Prince,775
Jauan Jennings,771
Ben Skowronek,760
Josh Reynolds,758
Donald Parham,758
Tyler Badie,751
Jake Haener,717
Tommy Tremble,716
Jonnu Smith,715
Marquez Callaway,715
Kene Nwangwu,714
Matt Corral,697
Adam Trautman,674
Eno Benjamin,664
Boston Scott,650
Ke'Shawn Vaughn,649
Justin Shorter,649
Marvin Jones,647
Harrison Bryant,646
Jalen Guyton,645
Mitchell Trubisky,639
Olamide Zaccheaus,637
Mack Hollins,635
Max Duggan,626
Anthony Schwartz,622
Mohamed Ibrahim,622
JaMycal Hasty,621
Demetric Felton,616
Cameron Latu,615
Jeremy Ruckert,597
Robert Tonyan,590
Deonte Harty,589
Lew Nichols,589
Rakim Jarrett,586
Jaren Hall,580
Bryan Edwards,577
Equanimeous St. Brown,576
Trey Sermon,576
Brock Wright,573
Will Dissly,567
Danny Gray,565
Shi Smith,560
Jalen Nailor,558
Marcus Mariota,556
Braxton Berrios,555
Drew Lock,554
Tre' McKitty,552
Snoop Conner,550
Jaret Patterson,546
Julius Chestnut,534
DeeJay Dallas,529
Jalen Reagor,527
Hunter Long,519
Ihmir Smith-Marsette,515
Zach Pascal,513
Cedrick Wilson,510
Skylar Thompson,510
Tre'Quan Smith,509
Erik Ezukanma,507
Travis Homer,505
Jermar Jefferson,505
Kalif Raymond,502
C.J. Uzomah,501
Justice Hill,501
James Washington,498
Tylan Wallace,492
Gary Brightwell,492
Caleb Huntley,492
Scotty Miller,491
James Mitchell,490
Ashton Dulin,489
Mo Alie-Cox,487
Colby Parkinson,470
Kylen Granson,469
Jaelon Darden,468
J.J. Taylor,466
Velus Jones,460
O.J. Howard,459
Andy Dalton,453
Trestan Ebner,452
Anthony McFarland,444
Teddy Bridgewater,441
Keaton Mitchell,434
Matt Breida,433
Myles Gaskin,415
Tony Jones,410
Logan Thomas,403
Lance McCutcheon,401
Josh Oliver,394
Auden Tate,387
Jamison Crowder,377
Trent Sherfield,376
Collin Johnson,365
Salvon Ahmed,363
Nelson Agholor,359
Ian Thomas,359
Tyler Johnson,355
John Bates,355
D'Wayne Eskridge,354
Latavius Murray,342
Jamal Agnew,342
Cooper Rush,328
Miles Boykin,319
Dez Fitzpatrick,316
Larry Rountree,315
Sam Ehlinger,313
Darrell Henderson,308
Craig Reynolds,303
Sincere McCormick,298
Jarvis Landry,286
Colt McCoy,284
Charlie Kolar,280
Brycen Hopkins,266
KaVontae Turpin,258
Drew Sample,257
Kyle Allen,256
James Proche,248
Dan Arnold,241
Carson Wentz,239
DeAndre Carter,226
P.J. Walker,217
Teagan Quitoriano,210
Marquise Goodwin,195
Mike Strachan,192
Josiah Deguara,191
Jacob Harris,190
N'Keal Harry,169
Mike Boone,165
Lil'Jordan Humphrey,164
Randall Cobb,157
Tyree Jackson,157
Kellen Mond,156
Ty Johnson,149
Shane Zylstra,142
Tre Turner,132
Hunter Bryant,130
Chris Moore,121
David Moore,111
Darrynton Evans,102
J.D. McKissic,78
Benny Snell,35
Demarcus Robinson,4
Taywan Taylor,0
Josh Doctson,0
Taylor Gabriel,0
