player_name,age,value,posRank
Taylor Heinicke,29.9,1282,QB37
Samaje Perine,27.4,1271,RB43
Brandin Cooks,29.3,1265,WR61
2023 Round 3,NA,1247,PICK7
Andy Dalton,35.3,1242,QB38
Sam Darnold,25.6,1234,QB39
Juwan Johnson,26.4,1225,TE20
Noah Fant,25.2,1216,TE21
Matt Ryan,37.7,1214,QB40
Mike Gesicki,27.3,1211,TE22
Raheem Mostert,30.8,1164,RB44
Isaiah Likely,22.8,1146,TE23
Darius Slayton,26,1129,WR62
Cade Otton,23.8,1126,TE24
Hayden Hurst,29.4,1116,TE25
DJ Chark,26.4,1107,WR63
Zonovan Knight,NA,1101,RB45
Jaylen Warren,24.2,1093,RB46
Jeff Wilson,27.2,1092,RB47
2024 Round 3,NA,1091,PICK8
Davis Mills,24.3,1075,QB41
Latavius Murray,33,1040,RB48
Zach Ertz,32.2,1030,TE26
Tyler Boyd,28.2,1011,WR64
2025 Round 3,NA,965,PICK9
Foster Moreau,25.7,957,TE27
John Metchie,22.5,940,WR65
Michael Thomas,29.9,906,WR66
Tyler Conklin,27.5,904,TE28
Alexander Mattison,24.6,896,RB49
David Bell,22.1,868,WR67
Terrace Marshall,22.6,806,WR68
Parris Campbell,25.5,800,WR69
Damien Harris,26,797,RB50
Hunter Renfrow,27.1,786,WR70
Taysom Hill,32.4,743,TE29
Michael Carter,23.7,743,RB51
Kyren Williams,22.4,721,RB52
Jelani Woods,24.3,717,TE30
Odell Beckham,30.2,713,WR71
Elijah Mitchell,24.7,708,RB53
Jacoby Brissett,30.1,658,QB42
James Robinson,24.5,597,RB54
Hunter Henry,28.1,567,TE31
Deon Jackson,23.9,558,RB55
Zamir White,23.4,556,RB56
Gus Edwards,27.8,549,RB57
Tyquan Thornton,22.4,546,WR72
Colt McCoy,36.4,536,QB43
Carson Wentz,30.1,534,QB44
Isaiah Spiller,21.5,532,RB58
Chuba Hubbard,23.6,516,RB59
K.J. Osborn,25.6,494,WR73
Kenneth Gainwell,23.9,473,RB60
Sam Howell,22.4,470,QB45
Van Jefferson,26.5,438,WR74
Allen Robinson,29.4,434,WR75
Isaiah McKenzie,27.8,413,WR76
Mack Hollins,29.4,391,WR77
Robert Tonyan,28.7,385,TE32
Teddy Bridgewater,30.2,374,QB46
Jake Ferguson,24,355,TE33
Mecole Hardman,24.9,354,WR78
Austin Hooper,28.3,354,TE34
Irv Smith,24.5,350,TE35
Hassan Haskins,23.2,340,RB61
Kyle Allen,26.9,336,QB47
Jordan Mason,23.7,288,RB62
Marquez Valdes-Scantling,28.3,285,WR79
Devin Duvernay,25.4,281,WR80
Corey Davis,28.1,268,WR81
Keaontay Ingram,23.3,252,RB63
Bailey Zappe,23.8,251,QB48
Logan Thomas,31.6,232,TE36
Matt Corral,24,231,QB49
Jameis Winston,29.1,229,QB50
Rashaad Penny,27,226,RB64
Darrell Henderson,25.4,214,RB65
Zack Moss,25.1,209,RB66
Nick Foles,34,198,QB51
Robert Woods,30.8,177,WR82
Julio Jones,34,157,WR83
Kenyan Drake,29,153,RB67
Demarcus Robinson,28.4,151,WR84
Chase Edmonds,26.8,151,RB68
Nyheim Hines,26.2,149,RB69
Greg Dortch,24.7,145,WR85
Richie James,27.4,144,WR86
Melvin Gordon,29.8,141,RB70
Khalil Shakir,23,140,WR87
Jarvis Landry,30.2,140,WR88
John Wolford,27.3,135,QB52
Russell Gage,27,131,WR89
Jalen Tolbert,23.9,128,WR90
Rashid Shaheed,24.4,115,WR91
KJ Hamler,23.6,110,WR92
Kyle Philips,23.6,106,WR93
JaMycal Hasty,26.4,105,RB71
Eno Benjamin,23.8,99,RB72
Harrison Bryant,24.8,99,TE37
Bryce Perkins,26.1,93,QB53
DeAndre Carter,29.8,93,WR94
Ben Skowronek,25.6,91,WR95
Dontrell Hilliard,27.9,91,RB73
Travis Homer,24.5,85,RB74
Sam Ehlinger,24.3,77,QB54
Jerome Ford,23.4,75,RB75
DeVante Parker,30,73,WR96
Pierre Strong,24.1,72,RB76
Albert Okwuegbunam,24.8,70,TE38
Matt Breida,27.9,69,RB77
Joshua Kelley,25.2,64,RB78
D'Ernest Johnson,26.9,64,RB79
Jarrett Stidham,26.5,61,QB55
Tyrion Davis-Price,22.3,60,RB80
Laviska Shenault,24.3,60,WR97
Kyle Trask,24.9,59,QB56
Quez Watkins,24.6,57,WR98
Will Dissly,26.6,48,TE39
Noah Gray,23.7,48,TE40
Trestan Ebner,24.1,46,RB81
Jonnu Smith,27.4,45,TE41
Calvin Austin,23.8,44,WR99
Kenny Golladay,29.2,43,WR100
Brevin Jordan,22.5,37,TE42
Marvin Jones,32.9,37,WR101
Brett Rypien,26.6,36,QB57
Marquise Goodwin,32.2,36,WR102
Tutu Atwell,23.3,36,WR103
Tim Patrick,29.2,36,WR104
Cooper Rush,29.2,36,QB58
Justyn Ross,23.1,34,WR105
Mike Boone,27.6,33,RB82
Adam Trautman,26,30,TE43
C.J. Uzomah,30,29,TE44
Marlon Mack,26.9,28,RB83
Caleb Huntley,24.4,26,RB84
Rex Burkhead,32.6,26,RB85
Kendrick Bourne,27.5,25,WR106
Noah Brown,27.1,24,WR107
Tommy Tremble,22.7,24,TE45
Denzel Mims,25.3,22,WR108
Amari Rodgers,23.4,22,WR109
Drew Lock,26.2,20,QB59
Danny Gray,23.8,19,WR110
Josh Reynolds,28,19,WR111
Trey Sermon,24,19,RB86
Ty Johnson,25.4,19,RB87
Nick Westbrook-Ikhine,25.9,17,WR112
Robbie Anderson,29.7,15,WR113
Kylen Granson,24.8,14,TE46
Dyami Brown,23.2,13,WR114
Raheem Blackshear,23.6,12,RB88
Tony Jones,25.2,12,RB89
Ty Chandler,24.7,12,RB90
Jauan Jennings,25.6,11,WR115
Kevin Harris,22.2,10,RB91
Snoop Conner,23.1,10,RB92
DeeJay Dallas,24.4,10,RB93
Benny Snell,24.9,10,RB94
Randall Cobb,32.4,10,WR116
Mo Alie-Cox,29.4,9,TE47
Ameer Abdullah,29.6,7,RB95
James Washington,26.8,7,WR117
Mark Ingram,33.1,7,RB96
Velus Jones,25.7,6,WR118
Chris Evans,25.3,6,RB97
Sterling Shepard,30,6,WR119
Mitch Trubisky,28.4,6,QB60
Jalen Reagor,24.1,5,WR120
Sony Michel,27.9,5,RB98
Justin Watson,27.8,4,WR121
Cameron Brate,31.6,4,TE48
J.D. McKissic,29.5,3,RB99
Olamide Zaccheaus,25.5,3,WR122
Justice Hill,25.2,2,RB100
Darrel Williams,27.8,2,RB101
Marquez Callaway,24.8,2,WR123
PJ Walker,27.9,1,QB61
Samori Toure,24.8,1,WR124
Shi Smith,24.3,1,WR125
Justin Jackson,26.8,1,RB102
Nelson Agholor,29.7,1,WR126
