player_name,ktc_value,ktc_rank,age,fc_value,fc_rank,fc_rank_overall,draft_age,draft_year,pos,rnd,pick,fp_value,rank_diff,value_avg
Patrick Mahomes,9999,1,27.7,12059,QB1,1,21,2017,QB,1,10,83,0,11029
Josh Allen,9896,2,27,9363,QB2,4,22,2018,QB,1,7,83,-2,9629.5
Jalen Hurts,9572,3,24.8,9139,QB4,6,22,2020,QB,2,53,80,-3,9355.5
Justin Jefferson,9488,4,23.9,11423,WR1,2,21,2020,WR,1,22,73,2,10455.5
Joe Burrow,9110,5,26.4,9350,QB3,5,23,2020,QB,1,1,78,0,9230
Ja'Marr Chase,8393,6,23.2,9364,WR2,3,21,2021,WR,1,5,72,3,8878.5
Justin Herbert,8052,7,25.2,7387,QB6,10,22,2020,QB,1,6,72,-3,7719.5
Trevor Lawrence,7875,8,23.6,6377,QB9,20,21,2021,QB,1,1,71,-12,7126
Bijan Robinson,7693,9,21.3,8584,RB1,8,NA,NA,NA,NA,NA,70,1,8138.5
Lamar Jackson,7612,10,26.4,8128,QB5,9,21,2018,QB,1,32,68,1,7870
Justin Fields,6784,11,24.2,6545,QB8,18,22,2021,QB,1,11,73,-7,6664.5
CeeDee Lamb,6730,12,24.1,6938,WR3,12,21,2020,WR,1,17,70,0,6834
A.J. Brown,6658,13,25.9,6799,WR4,14,22,2019,WR,2,51,69,-1,6728.5
Garrett Wilson,6648,14,22.8,6683,WR5,16,22,2022,WR,1,10,60,-2,6665.5
Jaylen Waddle,6208,15,24.5,6217,WR7,23,22,2021,WR,1,6,67,-8,6212.5
Breece Hall,6208,16,22,6924,RB2,13,21,2022,RB,2,36,66,3,6566
Anthony Richardson,6170,17,21,6610,QB7,17,NA,NA,NA,NA,NA,47,0,6390
Amon-Ra St. Brown,6020,18,23.6,6361,WR6,22,21,2021,WR,4,112,65,-4,6190.5
2024 Early 1st,6001,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,5992,20,22.9,5345,WR9,29,22,2022,WR,1,11,62,-9,5668.5
Jonathan Taylor,5968,21,24.3,6371,RB4,21,21,2020,RB,2,41,73,0,6169.5
2023 Early 1st,5953,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,5890,23,26.9,6795,RB3,15,21,2017,RB,1,8,64,8,6342.5
Bryce Young,5885,24,21.8,4968,QB11,39,NA,NA,NA,NA,NA,53,-15,5426.5
Jahmyr Gibbs,5688,25,21.2,5285,RB6,30,NA,NA,NA,NA,NA,44,-5,5486.5
C.J. Stroud,5505,26,21.6,4263,QB13,49,NA,NA,NA,NA,NA,54,-23,4884
DeVonta Smith,5469,27,24.5,5282,WR10,31,22,2021,WR,1,10,56,-4,5375.5
Kyle Pitts,5458,28,22.6,5150,TE3,37,20,2021,TE,1,4,55,-9,5304
Tee Higgins,5456,29,24.3,5186,WR12,33,21,2020,WR,2,33,52,-4,5321
Drake London,5454,30,21.8,5271,WR11,32,21,2022,WR,1,8,58,-2,5362.5
DK Metcalf,5446,31,25.4,4503,WR17,46,21,2019,WR,2,64,54,-15,4974.5
Deshaun Watson,5414,32,27.7,5436,QB10,28,21,2017,QB,1,12,62,4,5425
Kyler Murray,5408,33,25.8,4472,QB12,47,22,2019,QB,1,1,60,-14,4940
Jaxon Smith-Njigba,5395,34,21.3,4801,WR15,42,NA,NA,NA,NA,NA,49,-8,5098
Mark Andrews,5384,35,27.7,5454,TE1,27,23,2018,TE,3,86,51,8,5419
Tyreek Hill,5370,36,29.2,5769,WR8,24,22,2016,WR,5,165,66,12,5569.5
Saquon Barkley,5328,37,26.3,5655,RB5,26,21,2018,RB,1,2,67,11,5491.5
Dak Prescott,5325,38,29.8,3975,QB15,54,23,2016,QB,4,135,61,-16,4650
Travis Kelce,5288,39,33.6,5166,TE2,34,23,2013,TE,3,63,53,5,5227
Stefon Diggs,5276,40,29.5,5154,WR13,35,21,2015,WR,5,146,63,5,5215
Travis Etienne,5235,41,24.3,4842,RB8,41,22,2021,RB,1,25,61,0,5038.5
Kenneth Walker,5169,42,22.6,4766,RB9,43,21,2022,RB,2,41,68,-1,4967.5
Tua Tagovailoa,4893,43,25.2,3999,QB14,52,22,2020,QB,1,5,53,-9,4446
Cooper Kupp,4891,44,29.9,4666,WR16,45,24,2017,WR,3,69,55,-1,4778.5
Josh Jacobs,4871,45,25.3,4371,RB10,48,21,2019,RB,1,24,54,-3,4621
Tony Pollard,4805,46,26,3763,RB15,60,22,2019,RB,4,128,51,-14,4284
2025 Early 1st,4803,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024 Mid 1st,4791,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023 Mid 1st,4786,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,4754,50,30.4,5120,WR14,38,21,2014,WR,2,53,59,12,4937
Najee Harris,4751,51,25.2,4192,RB11,50,23,2021,RB,1,24,50,1,4471.5
Jordan Addison,4739,52,21.3,3757,WR18,61,NA,NA,NA,NA,NA,51,-9,4248
Austin Ekeler,4716,53,28,4848,RB7,40,NA,NA,NA,NA,NA,54,13,4782
Daniel Jones,4688,54,26,3853,QB16,57,22,2019,QB,1,6,43,-3,4270.5
Rhamondre Stevenson,4671,55,25.2,4109,RB12,51,23,2021,RB,4,120,58,4,4390
Christian Watson,4650,56,24,3391,WR25,76,23,2022,WR,2,34,50,-20,4020.5
T.J. Hockenson,4636,57,25.9,3861,TE4,56,22,2019,TE,1,8,38,1,4248.5
Javonte Williams,4544,58,23.1,3776,RB14,59,21,2021,RB,2,35,52,-1,4160
D.J. Moore,4492,59,26.1,3631,WR20,64,21,2018,WR,1,24,45,-5,4061.5
Nick Chubb,4472,60,27.4,3940,RB13,55,22,2018,RB,2,35,54,5,4206
Michael Pittman,4418,61,25.6,3642,WR19,63,22,2020,WR,2,34,48,-2,4030
Jordan Love,4408,62,24.5,3082,QB20,87,21,2020,QB,1,26,18,-25,3745
Treylon Burks,4407,63,23.2,3452,WR23,71,22,2022,WR,1,18,38,-8,3929.5
Deebo Samuel,4391,64,27.3,3548,WR21,66,23,2019,WR,2,36,41,-2,3969.5
Jahan Dotson,4391,65,23.2,3492,WR22,68,22,2022,WR,1,16,36,-3,3941.5
Quentin Johnston,4354,66,21.7,3211,WR28,83,NA,NA,NA,NA,NA,37,-17,3782.5
Jameson Williams,4338,67,22.1,3216,WR27,81,21,2022,WR,1,12,46,-14,3777
Zay Flowers,4337,68,22.7,2687,WR35,108,NA,NA,NA,NA,NA,34,-40,3512
Kenny Pickett,4336,69,24.9,3415,QB18,73,24,2022,QB,1,20,30,-4,3875.5
Brandon Aiyuk,4326,70,25.2,3121,WR29,85,22,2020,WR,1,25,44,-15,3723.5
Jerry Jeudy,4324,71,24.1,3224,WR26,80,21,2020,WR,1,15,40,-9,3774
J.K. Dobbins,4317,72,24.4,3724,RB16,62,21,2020,RB,2,55,38,10,4020.5
George Kittle,4302,73,29.6,3579,TE5,65,23,2017,TE,5,146,34,8,3940.5
2025 Mid 1st,4300,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,4281,75,27.7,2975,WR31,91,23,2019,WR,3,76,42,-16,3628
George Pickens,4276,76,22.2,3041,WR30,90,21,2022,WR,2,52,28,-14,3658.5
2023 Late 1st,4274,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dameon Pierce,4264,78,23.2,3388,RB20,77,22,2022,RB,4,107,30,1,3826
2024 Late 1st,4257,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Kincaid,4245,80,23.6,3258,TE6,79,NA,NA,NA,NA,NA,20,1,3751.5
Chris Godwin,4151,81,27.2,3406,WR24,74,21,2017,WR,3,84,43,7,3778.5
D'Andre Swift,4124,82,24.3,3442,RB18,72,21,2020,RB,2,35,47,10,3783
Jared Goff,4094,83,28.6,3479,QB17,69,21,2016,QB,1,1,37,14,3786.5
Dallas Goedert,4065,84,28.4,2869,TE7,96,23,2018,TE,2,49,36,-12,3467
Calvin Ridley,4047,85,28.4,2606,WR37,112,NA,NA,NA,NA,NA,22,-27,3326.5
Christian Kirk,4047,86,26.5,2533,WR38,117,21,2018,WR,2,47,35,-31,3290
Marquise Brown,4031,87,26,2771,WR34,101,22,2019,WR,1,25,30,-14,3401
Miles Sanders,4006,88,26,3402,RB19,75,22,2019,RB,2,53,32,13,3704
Trey Lance,4005,89,23,2802,QB23,99,21,2021,QB,1,3,52,-10,3403.5
Derrick Henry,4001,90,29.4,3535,RB17,67,22,2016,RB,2,45,42,23,3768
Diontae Johnson,3967,91,26.9,2802,WR33,100,23,2019,WR,3,66,33,-9,3384.5
2025 Late 1st,3951,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,3896,93,23.4,2234,QB28,129,22,2022,QB,7,262,15,-36,3065
Zach Charbonnet,3867,94,22.4,2745,RB24,103,NA,NA,NA,NA,NA,27,-9,3306
Amari Cooper,3862,95,28.9,2928,WR32,95,21,2015,WR,1,4,29,0,3395
Pat Freiermuth,3843,96,24.6,2601,TE8,113,22,2021,TE,2,55,32,-17,3222
Kirk Cousins,3838,97,34.7,3048,QB21,88,24,2012,QB,4,102,47,9,3443
Geno Smith,3837,98,32.6,2707,QB26,106,22,2013,QB,2,39,37,-8,3272
Rachaad White,3822,99,24.3,2940,RB23,94,23,2022,RB,3,91,27,5,3381
Devon Achane,3759,100,21.6,2729,RB25,104,NA,NA,NA,NA,NA,21,-4,3244
Derek Carr,3729,101,32.1,2754,QB24,102,23,2014,QB,2,36,36,-1,3241.5
Isiah Pacheco,3683,102,23.2,2136,RB33,134,22,2022,RB,7,251,20,-32,2909.5
Russell Wilson,3668,103,34.5,3212,QB19,82,23,2012,QB,3,75,34,21,3440
Will Levis,3640,104,23.9,2714,QB25,105,NA,NA,NA,NA,NA,41,-1,3177
Aaron Rodgers,3638,105,39.5,2957,QB22,93,NA,NA,NA,NA,NA,41,12,3297.5
Michael Mayer,3605,106,21.9,2316,TE10,126,NA,NA,NA,NA,NA,25,-20,2960.5
Joe Mixon,3528,107,26.8,2962,RB22,92,21,2017,RB,2,48,40,15,3245
Jonathan Mingo,3521,108,22.1,2249,WR42,128,NA,NA,NA,NA,NA,2,-20,2885
Aaron Jones,3512,109,28.5,2667,RB26,109,22,2017,RB,5,182,39,0,3089.5
Kadarius Toney,3507,110,24.3,2410,WR41,123,22,2021,WR,1,20,24,-13,2958.5
James Cook,3496,111,23.6,2502,RB29,119,22,2022,RB,2,63,27,-8,2999
Kendre Miller,3461,112,20.9,1862,RB39,157,NA,NA,NA,NA,NA,10,-45,2661.5
2023 Early 2nd,3450,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,3425,114,23.5,2164,WR43,132,21,2021,WR,1,27,29,-18,2794.5
2024 Early 2nd,3394,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Williams,3381,116,28.6,2024,WR44,140,22,2017,WR,1,7,23,-24,2702.5
Cam Akers,3377,117,23.9,2641,RB27,110,21,2020,RB,2,52,35,7,3009
Mike Evans,3360,118,29.7,2441,WR40,121,21,2014,WR,1,7,21,-3,2900.5
Sam LaPorta,3306,119,22.3,2100,TE11,136,NA,NA,NA,NA,NA,NA,-17,2703
Mac Jones,3299,120,24.7,2062,QB29,138,23,2021,QB,1,15,32,-18,2680.5
DeAndre Hopkins,3284,121,30.9,2526,WR39,118,21,2013,WR,1,27,23,3,2905
Alexander Mattison,3272,122,24.9,2114,RB34,135,21,2019,RB,3,102,6,-13,2693
Dalvin Cook,3270,123,27.8,3098,RB21,86,22,2017,RB,2,41,37,37,3184
Desmond Ridder,3258,124,23.7,2338,QB27,125,23,2022,QB,3,74,6,-1,2798
David Montgomery,3246,125,25.9,2491,RB30,120,22,2019,RB,3,73,19,5,2868.5
AJ Dillon,3195,126,25,2223,RB31,130,22,2020,RB,2,62,27,-4,2709
Roschon Johnson,3160,127,22.3,2027,RB35,139,NA,NA,NA,NA,NA,18,-12,2593.5
Elijah Moore,3125,128,23.1,1849,WR49,160,21,2021,WR,2,34,13,-32,2487
Darren Waller,3099,129,30.7,2390,TE9,124,22,2015,WR,6,204,15,5,2744.5
Brian Robinson,3099,130,24.2,2148,RB32,133,NA,NA,NA,NA,NA,24,-3,2623.5
2023 Mid 2nd,3098,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,3093,132,21.8,1825,WR51,163,NA,NA,NA,NA,NA,32,-31,2459
Keenan Allen,3092,133,31.1,2627,WR36,111,21,2013,WR,3,76,19,22,2859.5
Chigoziem Okonkwo,3079,134,23.7,1882,TE14,155,22,2022,TE,4,143,23,-21,2480.5
Alvin Kamara,3076,135,27.8,2563,RB28,114,22,2017,RB,3,67,26,21,2819.5
Marvin Mims,3032,136,21.2,1786,WR53,166,NA,NA,NA,NA,NA,3,-30,2409
Sam Howell,3029,137,22.7,1946,QB32,147,21,2022,QB,5,144,11,-10,2487.5
2024 Mid 2nd,3002,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025 Early 2nd,3000,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,2954,140,23.1,1857,WR48,158,NA,NA,NA,NA,NA,8,-18,2405.5
Khalil Herbert,2943,141,25.1,1821,RB40,164,23,2021,RB,6,217,24,-23,2382
Jimmy Garoppolo,2927,142,31.5,1993,QB30,143,22,2014,QB,2,62,16,-1,2460
Evan Engram,2920,143,28.7,1895,TE13,153,23,2017,TE,1,23,27,-10,2407.5
Jayden Reed,2908,144,23.1,1684,WR54,169,NA,NA,NA,NA,NA,7,-25,2296
Greg Dulcich,2902,145,23.1,1898,TE12,152,22,2022,TE,3,80,28,-7,2400
Wan'Dale Robinson,2897,146,22.4,1361,WR68,202,21,2022,WR,2,43,14,-56,2129
Gabriel Davis,2895,147,24.1,1801,WR52,165,21,2020,WR,4,128,16,-18,2348
Jalin Hyatt,2889,148,21.6,1645,WR55,171,NA,NA,NA,NA,NA,27,-23,2267
Tyler Lockett,2879,149,30.6,1847,WR50,161,22,2015,WR,3,69,19,-12,2363
Tank Bigsby,2874,150,21.7,1916,RB37,151,NA,NA,NA,NA,NA,12,-1,2395
David Njoku,2856,151,26.9,1856,TE15,159,21,2017,TE,1,29,30,-8,2356
Courtland Sutton,2852,152,27.6,2000,WR45,142,22,2018,WR,2,40,31,10,2426
Antonio Gibson,2848,153,24.9,1883,RB38,154,22,2020,RB,3,66,23,-1,2365.5
Skyy Moore,2848,154,22.7,1461,WR60,187,21,2022,WR,2,54,18,-33,2154.5
James Conner,2825,155,28,1950,RB36,146,22,2017,RB,3,105,16,9,2387.5
2023 Late 2nd,2812,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,2811,157,24.2,1623,TE16,173,21,2020,TE,2,43,19,-16,2217
Darnell Mooney,2789,158,25.6,1516,WR58,181,22,2020,WR,5,173,20,-23,2152.5
John Metchie,2779,159,22.8,1451,WR62,190,NA,NA,NA,NA,NA,2,-31,2115
JuJu Smith-Schuster,2775,160,26.5,1918,WR46,149,20,2017,WR,2,62,26,11,2346.5
Tyjae Spears,2746,161,21.9,1641,RB41,172,NA,NA,NA,NA,NA,12,-11,2193.5
Jakobi Meyers,2744,162,26.5,1525,WR57,180,NA,NA,NA,NA,NA,17,-18,2134.5
Matthew Stafford,2697,163,35.3,1970,QB31,145,NA,NA,NA,NA,NA,23,18,2333.5
2024 Late 2nd,2689,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,2680,165,23,1454,WR61,189,22,2022,WR,2,53,13,-24,2067
Trey McBride,2657,166,23.5,1385,TE19,200,22,2022,TE,2,55,16,-34,2021
Dalton Schultz,2654,167,26.9,1535,TE17,178,22,2018,TE,4,137,22,-11,2094.5
Romeo Doubs,2652,168,23.1,1292,WR70,211,22,2022,WR,4,132,5,-43,1972
Hendon Hooker,2595,169,25.3,1942,QB33,148,NA,NA,NA,NA,NA,6,21,2268.5
2025 Mid 2nd,2560,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,2531,171,29.6,1878,WR47,156,20,2014,WR,1,20,6,15,2204.5
Jamaal Williams,2523,172,28.1,1490,RB43,184,22,2017,RB,4,134,6,-12,2006.5
Isaiah Likely,2520,173,23.1,1182,TE22,226,22,2022,TE,4,139,11,-53,1851
Rondale Moore,2504,174,22.9,1425,WR64,195,21,2021,WR,2,49,17,-21,1964.5
Luke Musgrave,2469,175,22.7,1459,TE18,188,NA,NA,NA,NA,NA,8,-13,1964
Tyler Allgeier,2464,176,23.1,1372,RB45,201,22,2022,RB,5,151,21,-25,1918
Elijah Mitchell,2425,177,25,1498,RB42,183,23,2021,RB,6,194,5,-6,1961.5
2025 Late 2nd,2367,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashaad Penny,2348,179,27.3,1274,RB50,213,22,2018,RB,1,27,2,-34,1811
Chase Claypool,2347,180,24.9,1404,WR67,198,22,2020,WR,2,49,15,-18,1875.5
Allen Lazard,2346,181,27.4,1417,WR65,196,NA,NA,NA,NA,NA,9,-15,1881.5
Chase Brown,2336,182,23.2,1242,RB52,219,NA,NA,NA,NA,NA,2,-37,1789
Nico Collins,2314,183,24.2,1335,WR69,205,22,2021,WR,3,89,7,-22,1824.5
D.J. Chark,2283,184,26.7,1211,WR74,223,21,2018,WR,2,61,8,-39,1747
Irv Smith Jr.,2280,185,24.8,1184,TE21,225,21,2019,TE,2,50,2,-40,1732
Cedric Tillman,2274,186,23.1,1243,WR73,218,NA,NA,NA,NA,NA,5,-32,1758.5
Damien Harris,2267,187,26.3,1346,RB46,204,22,2019,RB,3,87,9,-17,1806.5
Zach Evans,2258,188,22,1119,RB56,233,NA,NA,NA,NA,NA,11,-45,1688.5
Tyler Boyd,2248,189,28.5,1244,WR72,217,21,2016,WR,2,55,4,-28,1746
Donovan Peoples-Jones,2218,190,24.2,1110,WR75,236,21,2020,WR,6,187,11,-46,1664
2023 Early 3rd,2197,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Thomas,2177,192,30.2,1510,WR59,182,23,2016,WR,2,47,3,10,1843.5
Baker Mayfield,2175,193,28.1,1440,QB35,192,23,2018,QB,1,1,5,1,1807.5
Samaje Perine,2164,194,27.7,1294,RB49,210,21,2017,RB,4,114,2,-16,1729
Kenneth Gainwell,2162,195,24.2,1113,RB58,235,22,2021,RB,5,150,7,-40,1637.5
Ryan Tannehill,2140,196,34.8,1533,QB34,179,24,2012,QB,1,8,21,17,1836.5
Dawson Knox,2140,197,26.5,1024,TE28,241,22,2019,TE,3,96,7,-44,1582
Nathaniel Dell,2140,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
Odell Beckham,2119,199,30.5,1567,WR56,176,NA,NA,NA,NA,NA,2,23,1843
2023 Mid 3rd,2112,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024 Early 3rd,2111,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,2105,202,24.7,949,WR80,253,NA,NA,NA,NA,NA,11,-51,1527
Luke Schoonmaker,2100,203,24.6,371,TE42,327,NA,NA,NA,NA,NA,NA,-124,1235.5
Noah Fant,2097,204,25.5,963,TE31,250,21,2019,TE,1,20,6,-46,1530
Darnell Washington,2083,205,21.8,977,TE30,246,NA,NA,NA,NA,NA,7,-41,1530
Kayshon Boutte,2077,206,21,1432,WR63,193,NA,NA,NA,NA,NA,25,13,1754.5
Israel Abanikanda,2071,207,20.6,1333,RB47,206,NA,NA,NA,NA,NA,9,1,1702
Devin Singletary,2054,208,25.7,1426,RB44,194,22,2019,RB,3,74,8,14,1740
Hunter Renfrow,2051,209,27.4,965,WR78,249,23,2019,WR,5,149,2,-40,1508
Curtis Samuel,2047,210,26.8,897,WR84,265,21,2017,WR,2,40,5,-55,1472
Michael Gallup,2043,211,27.2,1017,WR76,242,22,2018,WR,3,81,4,-31,1530
Isaiah Hodgins,2034,212,24.6,763,WR89,282,21,2020,WR,6,207,4,-70,1398.5
Khalil Shakir,2032,213,23.3,927,WR81,257,22,2022,WR,5,148,6,-44,1479.5
D'Onta Foreman,2026,214,27.1,1226,RB54,221,21,2017,RB,3,89,4,-7,1626
Juwan Johnson,2012,215,26.7,1134,TE25,232,NA,NA,NA,NA,NA,10,-17,1573
Jaylen Warren,2009,216,24.5,977,RB61,247,NA,NA,NA,NA,NA,4,-31,1493
Deuce Vaughn,1979,217,21.5,1156,RB55,228,NA,NA,NA,NA,NA,2,-11,1567.5
Josh Palmer,1977,218,23.7,740,WR90,283,22,2021,WR,3,77,10,-65,1358.5
Mike Gesicki,1955,219,27.6,1163,TE23,227,22,2018,TE,2,42,13,-8,1559
K.J. Osborn,1934,220,25.9,878,WR85,269,23,2020,WR,5,176,2,-49,1406
Tyquan Thornton,1922,221,22.7,969,WR77,248,22,2022,WR,2,50,12,-27,1445.5
Terrace Marshall,1906,222,22.9,962,WR79,252,NA,NA,NA,NA,NA,8,-30,1434
Daniel Bellinger,1893,223,22.7,867,TE33,271,21,2022,TE,4,112,5,-48,1380
Zay Jones,1885,224,28.1,834,WR88,276,22,2017,WR,2,37,10,-52,1359.5
Adam Thielen,1883,225,32.7,1264,WR71,214,NA,NA,NA,NA,NA,3,11,1573.5
Clyde Edwards-Helaire,1882,226,24.1,1232,RB53,220,21,2020,RB,1,32,2,6,1557
Cade Otton,1869,227,24.1,1005,TE29,244,23,2022,TE,4,106,4,-17,1437
2024 Mid 3rd,1828,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeWayne McBride,1817,229,21.9,891,RB69,267,NA,NA,NA,NA,NA,9,-38,1354
Jelani Woods,1807,230,24.6,1142,TE24,231,23,2022,TE,3,73,17,-1,1474.5
Ezekiel Elliott,1802,231,27.8,1329,RB48,207,21,2016,RB,1,4,7,24,1565.5
Zamir White,1795,232,23.7,896,RB68,266,22,2022,RB,4,122,2,-34,1345.5
Mecole Hardman,1786,233,25.2,642,WR92,290,21,2019,WR,2,56,2,-57,1214
