player_name,ktc_value,ktc_rank,age,fc_value,fc_rank,fc_rank_overall,draft_age,draft_year,pos,rnd,pick,fp_value,rank_diff,value_avg
Allen Robinson,1213,299,29.7,878,WR86,270,21,2014,WR,2,61,3,29,1045.5
Foster Moreau,1195,300,26,549,TE38,302,22,2019,TE,4,137,2,-2,872
Malik Davis,1192,301,24.5,419,RB80,318,NA,NA,NA,NA,NA,NA,-17,805.5
2023 Early 4th,1184,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023 Mid 4th,1178,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hassan Haskins,1168,304,23.5,356,RB85,329,22,2022,RB,4,131,2,-25,762
Puka Nacua,1165,305,22,516,WR99,306,NA,NA,NA,NA,NA,12,-1,840.5
Kevin Harris,1141,306,NA,NA,NA,NA,21,2022,RB,6,183,NA,NA,NA
Mike White,1131,307,28.1,820,QB39,278,23,2018,QB,5,171,4,29,975.5
Taysom Hill,1130,308,32.7,486,TE39,311,NA,NA,NA,NA,NA,2,-3,808
Nyheim Hines,1117,309,26.5,276,RB88,345,21,2018,RB,4,104,2,-36,696.5
Russell Gage,1114,310,27.3,269,WR114,348,22,2018,WR,6,194,2,-38,691.5
Malik Willis,1107,311,24,690,QB42,288,23,2022,QB,3,86,11,23,898.5
Parker Washington,1104,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023 Late 4th,1093,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025 Early 4th,1092,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024 Mid 4th,1084,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrion Davis-Price,1077,316,NA,NA,NA,NA,21,2022,RB,3,93,2,NA,NA
Chase Edmonds,1058,317,27.1,393,RB82,322,22,2018,RB,4,134,2,-5,725.5
A.T. Perry,1057,318,23.6,614,WR93,292,NA,NA,NA,NA,NA,2,26,835.5
Jalen Tolbert,1057,319,24.2,281,WR111,343,23,2022,WR,3,88,2,-24,669
Dyami Brown,1056,320,NA,NA,NA,NA,21,2021,WR,3,82,NA,NA,NA
Brevin Jordan,1055,321,NA,NA,NA,NA,21,2021,TE,5,147,NA,NA,NA
Richie James,1051,322,NA,NA,NA,NA,23,2018,WR,7,240,NA,NA,NA
Chris Rodriguez,1041,323,22.6,372,RB83,326,NA,NA,NA,NA,NA,NA,-3,706.5
Ty Chandler,1026,324,25,408,RB81,320,24,2022,RB,5,169,NA,4,717
Cordarrelle Patterson,1010,325,32.2,514,RB77,307,22,2013,WR,1,29,2,18,762
Dorian Thompson-Robinson,1010,326,23.5,324,QB53,332,NA,NA,NA,NA,NA,NA,-6,667
Zack Kuntz,1004,327,23.9,295,TE45,339,NA,NA,NA,NA,NA,NA,-12,649.5
Noah Brown,1001,328,NA,NA,NA,NA,21,2017,WR,7,239,NA,NA,NA
Kendrick Bourne,991,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deon Jackson,989,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah McKenzie,984,331,28.1,261,WR115,350,22,2017,WR,5,172,2,-19,622.5
Ben Skowronek,974,332,NA,NA,NA,NA,24,2021,WR,7,249,2,NA,NA
Adam Trautman,972,333,NA,NA,NA,NA,23,2020,TE,3,105,NA,NA,NA
Brenton Strange,964,334,22.4,475,TE40,313,NA,NA,NA,NA,NA,NA,21,719.5
Zack Moss,955,335,25.4,486,RB79,312,22,2020,RB,3,86,NA,23,720.5
Kenny McIntosh,955,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
2024 Late 4th,948,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025 Mid 4th,948,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quez Watkins,945,339,NA,NA,NA,NA,22,2020,WR,6,200,NA,NA,NA
Donald Parham,937,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Austin,933,341,24.1,275,WR113,346,NA,NA,NA,NA,NA,2,-5,604
Peyton Hendershot,929,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,921,343,24,271,RB89,347,NA,NA,NA,NA,NA,2,-4,596
Amari Rodgers,919,344,NA,NA,NA,NA,21,2021,WR,3,85,NA,NA,NA
Tutu Atwell,909,345,NA,NA,NA,NA,21,2021,WR,2,57,NA,NA,NA
Austin Hooper,907,346,28.6,408,TE41,321,21,2016,TE,3,81,NA,25,657.5
Jauan Jennings,893,347,NA,NA,NA,NA,23,2020,WR,7,217,NA,NA,NA
Nick Westbrook-Ikhine,892,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tommy Tremble,888,349,NA,NA,NA,NA,21,2021,TE,3,83,NA,NA,NA
2025 Late 4th,869,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquez Callaway,852,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,851,352,21.9,303,WR109,338,NA,NA,NA,NA,NA,6,14,577
Josh Reynolds,846,353,NA,NA,NA,NA,22,2017,WR,4,117,NA,NA,NA
Jarrett Stidham,830,354,26.8,282,QB54,341,23,2019,QB,4,133,NA,13,556
Sterling Shepard,826,355,NA,NA,NA,NA,23,2016,WR,2,40,NA,NA,NA
D'Ernest Johnson,824,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Denzel Mims,821,357,NA,NA,NA,NA,22,2020,WR,2,59,NA,NA,NA
DeVante Parker,797,358,30.3,323,WR107,333,22,2015,WR,1,14,2,25,560
Harrison Bryant,784,359,NA,NA,NA,NA,22,2020,TE,4,115,2,NA,NA
Ronald Jones,781,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Tonyan,765,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Anthony Schwartz,764,362,NA,NA,NA,NA,21,2021,WR,3,91,NA,NA,NA
Matt Corral,762,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Max Duggan,758,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Guyton,752,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Badie,746,366,NA,NA,NA,NA,22,2022,RB,6,196,NA,NA,NA
Boston Scott,744,367,NA,NA,NA,NA,23,2018,RB,6,201,NA,NA,NA
Kene Nwangwu,738,368,NA,NA,NA,NA,23,2021,RB,4,119,NA,NA,NA
Mack Hollins,729,369,NA,NA,NA,NA,23,2017,WR,4,118,NA,NA,NA
Julius Chestnut,706,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy Ruckert,704,371,NA,NA,NA,NA,22,2022,TE,3,101,NA,NA,NA
Danny Gray,702,372,NA,NA,NA,NA,23,2022,WR,3,105,NA,NA,NA
Marvin Jones,698,373,33.2,280,WR112,344,22,2012,WR,5,166,NA,29,489
Eno Benjamin,695,374,NA,NA,NA,NA,21,2020,RB,7,222,NA,NA,NA
Equanimeous St. Brown,693,375,NA,NA,NA,NA,21,2018,WR,6,207,NA,NA,NA
Will Dissly,691,376,NA,NA,NA,NA,22,2018,TE,4,120,NA,NA,NA
Jake Haener,687,377,24.2,440,QB49,316,NA,NA,NA,NA,NA,NA,61,563.5
Jonnu Smith,677,378,NA,NA,NA,NA,22,2017,TE,3,100,NA,NA,NA
Marcus Mariota,676,379,29.5,520,QB47,305,21,2015,QB,1,2,NA,74,598
Bryan Edwards,675,380,NA,NA,NA,NA,21,2020,WR,3,81,NA,NA,NA
Justin Shorter,675,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snoop Conner,673,382,NA,NA,NA,NA,22,2022,RB,5,154,NA,NA,NA
Olamide Zaccheaus,667,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Cedrick Wilson,657,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ke'Shawn Vaughn,656,385,NA,NA,NA,NA,23,2020,RB,3,76,NA,NA,NA
JaMycal Hasty,655,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Trey Sermon,647,387,NA,NA,NA,NA,22,2021,RB,3,88,NA,NA,NA
Shi Smith,644,388,NA,NA,NA,NA,22,2021,WR,6,204,NA,NA,NA
Travis Homer,641,389,NA,NA,NA,NA,21,2019,RB,6,204,NA,NA,NA
Tyler Johnson,640,390,NA,NA,NA,NA,22,2020,WR,5,161,NA,NA,NA
Mohamed Ibrahim,638,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velus Jones,632,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Hunter Long,631,393,NA,NA,NA,NA,23,2021,TE,3,81,NA,NA,NA
Skylar Thompson,625,394,NA,NA,NA,NA,25,2022,QB,7,247,NA,NA,NA
Justice Hill,622,395,NA,NA,NA,NA,21,2019,RB,4,113,NA,NA,NA
Tre' McKitty,622,396,NA,NA,NA,NA,22,2021,TE,3,97,NA,NA,NA
Jaret Patterson,618,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Wright,614,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Trubisky,613,399,NA,NA,NA,NA,23,2017,QB,1,2,NA,NA,NA
Drew Lock,607,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deonte Harty,603,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaren Hall,592,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotty Miller,590,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tre'Quan Smith,588,404,NA,NA,NA,NA,22,2018,WR,3,91,NA,NA,NA
Jalen Nailor,581,405,NA,NA,NA,NA,23,2022,WR,6,191,NA,NA,NA
Demetric Felton,578,406,NA,NA,NA,NA,23,2021,RB,6,211,NA,NA,NA
Kylen Granson,567,407,NA,NA,NA,NA,23,2021,TE,4,127,2,NA,NA
Trestan Ebner,558,408,NA,NA,NA,NA,23,2022,RB,6,203,NA,NA,NA
Caleb Huntley,554,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mo Alie-Cox,552,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jermar Jefferson,552,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeeJay Dallas,551,412,NA,NA,NA,NA,21,2020,RB,4,144,NA,NA,NA
Anthony McFarland,546,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colby Parkinson,544,414,NA,NA,NA,NA,21,2020,TE,4,133,NA,NA,NA
C.J. Uzomah,538,415,NA,NA,NA,NA,22,2015,TE,5,157,NA,NA,NA
Braxton Berrios,533,416,NA,NA,NA,NA,22,2018,WR,6,210,NA,NA,NA
O.J. Howard,532,417,NA,NA,NA,NA,22,2017,TE,1,19,NA,NA,NA
