player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,
Tyler Allgeier,2145,700,193,RB,259,1422.5,1169.85,188,-1.65000000000009,2022,5,151,Howling for Chubb,,,,,
Jonathan Mingo,1986,752,199,WR,240,1369,1151.7,189,-18.1499999999999,NA,NA,NA,The Serle Brothers,,,,,
Rashod Bateman,1976,752,200,WR,241,1364,1148.4,190,-3.29999999999995,2021,1,27,The Serle Brothers,,,,,
Spencer Rattler,1717,880,219,QB,218,1298.5,1147.41,191,-0.990000000000009,NA,NA,NA,NA,,,,,
Devontez Walker,1223,1102,276,WR,192,1162.5,1130.91,192,-16.5,NA,NA,NA,NA,,,,,
Chigoziem Okonkwo,1848,771,213,TE,234,1309.5,1118.7,193,-12.21,2022,4,143,The Scene Worships Me,,,,,
Khalil Herbert,1874,754,210,RB,239,1314,1116.06,194,-2.63999999999987,2021,6,217,Kissy Boy Jones,,,,,
Aidan O'Connell,1871,743,211,QB,245,1307,1107.81,195,-8.25000000000023,NA,NA,NA,NA,,,,,
Ty Chandler,1862,745,212,RB,244,1303.5,1106.16,196,-1.64999999999986,2022,5,169,NA,,,,,
Trey Lance,1567,881,230,QB,217,1224,1098.57,197,-7.58999999999992,2021,1,3,The Millennium Beer,,,,,
Elijah Moore,1926,682,204,WR,261,1304,1085.7,198,-12.8700000000001,2021,2,34,The Scene Worships Me,,,,,
Rondale Moore,1940,657,203,WR,265,1298.5,1073.82,199,-11.8799999999999,2021,2,49,Howling for Chubb,,,,,
Will Shipley,1212,1013,281,RB,205,1112.5,1068.54,200,-5.2800000000002,NA,NA,NA,NA,,,,,
Tank Bigsby,1880,655,209,RB,267,1267.5,1052.7,201,-15.8399999999999,NA,NA,NA,A Team of Chance,,,,,
Greg Dulcich,1840,674,214,TE,263,1257,1052.04,202,-0.660000000000082,2022,3,80,JoJos Bizzare Massage,,,,,
Brenden Rice,1366,908,256,WR,215,1137,1050.06,203,-1.98000000000002,NA,NA,NA,NA,,,,,
Jaleel McLaughlin,1881,633,208,RB,270,1257,1038.51,204,-11.55,NA,NA,NA,NA,,,,,
Noah Fant,1699,722,220,TE,252,1210.5,1037.19,205,-1.31999999999994,2019,1,20,DirtyDan113,,,,,
Miles Sanders,1585,755,229,RB,238,1170,1021.35,206,-15.8399999999999,2019,2,53,DirtyDan113,,,,,
Trey Palmer,1884,586,207,WR,282,1235,1008.48,207,-12.8700000000001,NA,NA,NA,NA,,,,,
AJ Dillon,1638,702,225,RB,258,1170,1003.86,208,-4.61999999999989,2020,2,62,The Millennium Beer,,,,,
Kenny Pickett,1396,767,252,QB,235,1081.5,966.9,209,-36.96,2022,1,20,Pablo and the Stallions,,,,,
Jalen McMillan,914,928,318,WR,213,921,914.1,210,-52.8000000000001,NA,NA,NA,NA,,,,,
Adam Thielen,1494,630,237,WR,271,1062,908.82,211,-5.27999999999997,NA,NA,NA,A Team of Chance,,,,,
Darren Waller,1165,793,291,TE,231,979,907.83,212,-0.990000000000009,2015,6,204,Howling for Chubb,,,,,
Brandin Cooks,1620,546,226,WR,295,1083,894.96,213,-12.87,2014,1,20,HorseWomen of Color,,,,,
Jonnu Smith,1471,608,240,TE,275,1039.5,886.71,214,-8.25,2017,3,100,NA,,,,,
