player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,rank_diff,avg_norm,avg_norm_rank,norm_value_drop,draft_year,rnd,pick
Patrick Mahomes,10000,10000,1,QB,1,0,10000,1,NA,2017,1,10
Josh Allen,9945,9555,2,QB,2,0,9750,2,-250,2018,1,7
Joe Burrow,9212,8490,4,QB,4,0,8851,3,-899,2020,1,1
Jalen Hurts,9037,8642,5,QB,3,2,8839.5,4,-11.5,2020,2,53
Justin Jefferson,9224,8300,3,WR,5,-2,8762,5,-77.5,2020,1,22
Justin Herbert,8165,7441,6,QB,6,0,7803,6,-959,2020,1,6
Ja'Marr Chase,8165,7194,7,WR,7,0,7679.5,7,-123.5,2021,1,5
Trevor Lawrence,7763,6425,8,QB,8,0,7094,8,-585.5,2021,1,1
Lamar Jackson,6977,6156,9,QB,9,0,6566.5,9,-527.5,2018,1,32
CeeDee Lamb,6535,5383,10,WR,11,-1,5959,10,-607.5,2020,1,17
Justin Fields,6297,5559,12,QB,10,2,5928,11,-31,2021,1,11
A.J. Brown,6454,5089,11,WR,12,-1,5771.5,12,-156.5,2019,2,51
Garrett Wilson,6198,4713,13,WR,14,-1,5455.5,13,-316,2022,1,10
Breece Hall,6173,4695,14,RB,15,-1,5434,14,-21.5,2022,2,36
Jonathan Taylor,5853,5008,17,RB,13,4,5430.5,15,-3.5,2020,2,41
Jaylen Waddle,5977,4623,15,WR,19,-4,5300,16,-130.5,2021,1,6
Amon-Ra St. Brown,5913,4429,16,WR,22,-6,5171,17,-129,2021,4,112
Kenneth Walker,5713,4529,19,RB,20,-1,5121,18,-50,2022,2,41
Christian McCaffrey,5531,4652,24,RB,18,6,5091.5,19,-29.5,2017,1,8
Deshaun Watson,5349,4657,30,QB,17,13,5003,20,-88.5,2017,1,12
Kyler Murray,5663,4235,20,QB,24,-4,4949,21,-54,2019,1,1
Tyreek Hill,5319,4506,31,WR,21,10,4912.5,22,-36.5,2016,5,165
Tee Higgins,5655,4042,21,WR,27,-6,4848.5,23,-64,2020,2,33
Chris Olave,5592,3935,22,WR,28,-6,4763.5,24,-85,2022,1,11
Saquon Barkley,5288,4226,32,RB,25,7,4757,25,-6.5,2018,1,2
Dak Prescott,5046,4344,35,QB,23,12,4695,26,-62,2016,4,135
Kyle Pitts,5543,3825,23,TE,31,-8,4684,27,-11,2021,1,4
DeVonta Smith,5480,3711,25,WR,32,-7,4595.5,28,-88.5,2021,1,10
Stefon Diggs,5111,3911,34,WR,30,4,4511,29,-84.5,2015,5,146
DK Metcalf,5429,3575,27,WR,37,-10,4502,30,-9,2019,2,64
Drake London,5402,3599,28,WR,36,-8,4500.5,31,-1.5,2022,1,8
Travis Kelce,5009,3932,36,TE,29,7,4470.5,32,-30,2013,3,63
Travis Etienne,5364,3541,29,RB,38,-9,4452.5,33,-18,2021,1,25
Mark Andrews,5176,3540,33,TE,39,-6,4358,34,-94.5,2018,3,86
Austin Ekeler,4740,3687,42,RB,34,8,4213.5,35,-144.5,NA,NA,NA
Tua Tagovailoa,4740,3626,41,QB,35,6,4183,36,-30.5,2020,1,5
Cooper Kupp,4876,3436,38,WR,42,-4,4156,37,-27,2017,3,69
Josh Jacobs,4839,3456,39,RB,40,-1,4147.5,38,-8.5,2019,1,24
Davante Adams,4752,3444,40,WR,41,-1,4098,39,-49.5,2014,2,53
Najee Harris,4614,3325,53,RB,44,9,3969.5,40,-128.5,2021,1,24
Trey Lance,4683,3247,48,QB,45,3,3965,41,-4.5,2021,1,3
Javonte Williams,4683,3228,49,RB,47,2,3955.5,42,-9.5,2021,2,35
T.J. Hockenson,4714,3147,44,TE,48,-4,3930.5,43,-25,2019,1,8
Nick Chubb,4520,3230,58,RB,46,12,3875,44,-55.5,2018,2,35
Daniel Jones,4710,3003,45,QB,50,-5,3856.5,45,-18.5,2019,1,6
Deebo Samuel,4695,2949,47,WR,52,-5,3822,46,-34.5,2019,2,36
D'Andre Swift,4514,2951,60,RB,51,9,3732.5,47,-89.5,2020,2,35
Rhamondre Stevenson,4533,2835,57,RB,54,3,3684,48,-48.5,2021,4,120
Michael Pittman,4618,2731,52,WR,56,-4,3674.5,49,-9.5,2020,2,34
Jameson Williams,4700,2631,46,WR,62,-16,3665.5,50,-9,2022,1,12
Christian Watson,4648,2662,51,WR,57,-6,3655,51,-10.5,2022,2,34
Treylon Burks,4673,2584,50,WR,64,-14,3628.5,52,-26.5,2022,1,18
D.J. Moore,4483,2636,62,WR,61,1,3559.5,53,-69,2018,1,24
Jerry Jeudy,4576,2526,55,WR,66,-11,3551,54,-8.5,2020,1,15
George Kittle,4254,2842,68,TE,53,15,3548,55,-3,2017,5,146
George Pickens,4491,2524,61,WR,67,-6,3507.5,56,-40.5,2022,2,52
Kenny Pickett,4362,2650,65,QB,59,6,3506,57,-1.5,2022,1,20
Chris Godwin,4419,2577,64,WR,65,-1,3498,58,-8,2017,3,84
Tony Pollard,4460,2429,63,RB,72,-9,3444.5,59,-53.5,2019,4,128
Brandon Aiyuk,4549,2339,56,WR,79,-23,3444,60,-0.5,2020,1,25
Terry McLaurin,4271,2415,67,WR,73,-6,3343,61,-101,2019,3,76
Derrick Henry,3989,2656,78,RB,58,20,3322.5,62,-20.5,2016,2,45
Jared Goff,4151,2486,73,QB,68,5,3318.5,63,-4,2016,1,1
Russell Wilson,3932,2641,79,QB,60,19,3286.5,64,-32,2012,3,75
Dallas Goedert,4089,2437,76,TE,71,5,3263,65,-23.5,2018,2,49
Dameon Pierce,4145,2356,74,RB,77,-3,3250.5,66,-12.5,2022,4,107
J.K. Dobbins,4094,2372,75,RB,76,-1,3233,67,-17.5,2020,2,55
Marquise Brown,4243,2187,69,WR,84,-15,3215,68,-18,2019,1,25
Kirk Cousins,3834,2475,81,QB,69,12,3154.5,69,-60.5,2012,4,102
Jahan Dotson,4336,1892,66,WR,98,-32,3114,70,-40.5,2022,1,16
Christian Kirk,4156,2051,72,WR,89,-17,3103.5,71,-10.5,2018,2,47
Derek Carr,3798,2355,84,QB,78,6,3076.5,72,-27,2014,2,36
Joe Mixon,3623,2454,92,RB,70,22,3038.5,73,-38,2017,2,48
Diontae Johnson,4000,2052,77,WR,88,-11,3026,74,-12.5,2019,3,66
Dalvin Cook,3633,2412,91,RB,74,17,3022.5,75,-3.5,2017,2,41
Pat Freiermuth,3804,2142,83,TE,85,-2,2973,76,-49.5,2021,2,55
Amari Cooper,3820,2103,82,WR,87,-5,2961.5,77,-11.5,2015,1,4
