player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,,
Tucker Kraft,1567,503,241,TE,275,1035,849.09,221,-3.63,NA,NA,NA,The Serle Brothers,,,,,,
Michael Wilson,1442,563,251,WR,258,1002.5,847.44,222,-1.65,NA,NA,NA,Kissy Boy Jones,,,,,,
Isaiah Spiller,1620,465,236,RB,279,1042.5,841.5,223,-5.94,2022,4,123,Kissy Boy Jones,,,,,,
Jeffery Wilson,1444,548,250,RB,262,996,838.2,224,-3.3,NA,NA,NA,HorseWomen of Color,,,,,,
Gardner Minshew,1299,619,269,QB,245,959,837.21,225,-0.99,NA,NA,NA,JoJos Bizzare Massage,,,,,,
Zach Ertz,1302,595,267,TE,251,948.5,822.36,226,-14.85,2013,2,35,Kissy Boy Jones,,,,,,
James Robinson,1336,552,261,RB,261,944,805.2,227,-17.16,NA,NA,NA,DirtyDan113,,,,,,
Parris Campbell,1639,395,234,WR,284,1017,801.57,228,-3.63,2019,2,59,The Serle Brothers,,,,,,
Van Jefferson,1309,548,265,WR,263,928.5,793.65,229,-7.92,2020,2,57,The Scene Worships Me,,,,,,
Raheem Mostert,1279,548,270,RB,264,913.5,783.75,230,-9.9,NA,NA,NA,DirtyDan113,,,,,,
Leonard Fournette,1202,576,280,RB,254,889,776.82,231,-6.93,2017,1,4,Howling for Chubb,,,,,,
Kyle Trask,1359,475,259,QB,277,917,761.97,232,-14.85,2021,2,64,HorseWomen of Color,,,,,,
Mecole Hardman,1639,323,233,WR,290,981,754.05,233,-7.92,2019,2,56,Kissy Boy Jones,,,,,,
Gus Edwards,1218,506,277,RB,274,862,735.9,234,-18.15,NA,NA,NA,A Team of Chance,,,,,,
Zach Wilson,1315,442,264,QB,281,878.5,725.67,235,-10.23,2021,1,2,JoJos Bizzare Massage,,,,,,
Luke Schoonmaker,1959,93,203,TE,327,1026,707.85,236,-17.82,NA,NA,NA,Pablo and the Stallions,,,,,,
Allen Robinson,1056,523,299,WR,270,789.5,693.66,237,-14.19,2014,2,61,HorseWomen of Color,,,,,,
Jacoby Brissett,1209,444,278,QB,280,826.5,692.01,238,-1.65,2016,3,91,Pablo and the Stallions,,,,,,
Bailey Zappe,1480,305,249,QB,291,892.5,689.7,239,-2.31,2022,4,137,A Team of Chance,,,,,,
Evan Hull,1338,366,260,RB,286,852,683.1,240,-6.6,NA,NA,NA,The Millennium Beer,,,,,,
Darius Slayton,1494,266,248,WR,299,880,668.58,241,-14.52,2019,5,171,NA,,,,,,
Eric Gray,1254,379,274,RB,285,816.5,663.96,242,-4.62,NA,NA,NA,A Team of Chance,,,,,,
Keaontay Ingram,1236,365,276,RB,287,800.5,648.78,243,-15.18,2022,6,201,JoJos Bizzare Massage,,,,,,
Tyler Huntley,1268,348,272,QB,289,808,648.12,244,-0.66,NA,NA,NA,A Team of Chance,,,,,,
Mike White,972,474,307,QB,278,723,633.6,245,-14.52,2018,5,171,A Team of Chance,,,,,,
Stetson Bennett,1425,242,252,QB,303,833.5,629.97,246,-3.63,NA,NA,NA,Howling for Chubb,,,,,,
Justyn Ross,1405,247,255,WR,301,826,626.67,247,-3.3,NA,NA,NA,The Millennium Beer,,,,,,
Marquez Valdes-Scantling,1360,226,258,WR,304,793,597.96,248,-28.71,2018,5,174,Kissy Boy Jones,,,,,,
Hunter Henry,1191,298,281,TE,293,744.5,589.71,249,-8.25,2016,2,35,DirtyDan113,,,,,,
Pierre Strong Jr.,1255,255,273,RB,300,755,582.45,250,-7.26,NA,NA,NA,A Team of Chance,,,,,,
Kyren Williams,1182,272,282,RB,296,727,569.58,251,-12.87,2022,5,164,NA,,,,,,
David Bell,1272,208,271,WR,309,740,557.04,252,-12.54,2022,3,99,Kissy Boy Jones,,,,,,
Malik Willis,948,364,311,QB,288,656,553.08,253,-3.96,2022,3,86,Howling for Chubb,,,,,,
Taylor Heinicke,1105,281,291,QB,295,693,550.11,254,-2.97,NA,NA,NA,NA,,,,,,
Tyler Conklin,1084,270,294,TE,297,677,535.92,255,-14.19,2018,5,157,Howling for Chubb,,,,,,
Robert Woods,1067,270,297,WR,298,668.5,530.31,256,-5.61,2013,2,41,A Team of Chance,,,,,,
Tyler Scott,1136,205,286,WR,310,670.5,510.18,257,-20.13,NA,NA,NA,Pablo and the Stallions,,,,,,
Foster Moreau,1037,244,300,TE,302,640.5,503.25,258,-6.93,2019,4,137,NA,,,,,,
A.T. Perry,897,299,318,WR,292,598,493.35,259,-9.9,NA,NA,NA,NA,,,,,,
Joshua Kelley,1072,208,296,RB,308,640,491.04,260,-2.31,2020,4,112,Pablo and the Stallions,,,,,,
Kyle Philips,1127,165,287,WR,314,646,480.81,261,-10.23,2022,5,163,The Millennium Beer,,,,,,
Puka Nacua,1007,216,305,WR,306,611.5,474.87,262,-5.94,NA,NA,NA,NA,,,,,,
Corey Davis,1177,129,283,WR,319,653,473.55,263,-1.32,2017,1,5,NA,,,,,,
Trayveon Williams,1320,48,262,RB,335,684,467.28,264,-6.27,2019,6,182,The Serle Brothers,,,,,,
Greg Dortch,1319,40,263,WR,337,679.5,461.67,265,-5.61,NA,NA,NA,The Scene Worships Me,,,,,,
Zonovan Knight,1208,91,279,RB,328,649.5,458.7,266,-2.97,NA,NA,NA,NA,,,,,,
Taysom Hill,971,191,308,TE,311,581,446.49,267,-12.21,NA,NA,NA,NA,,,,,,
Davis Mills,1057,146,298,QB,317,601.5,445.17,268,-1.32,2021,3,67,NA,,,,,,
Laviska Shenault,1101,110,292,WR,323,605.5,435.93,269,-9.24,NA,NA,NA,The Scene Worships Me,,,,,,
Tim Patrick,1118,96,290,WR,325,607,432.3,270,-3.63,NA,NA,NA,The Serle Brothers,,,,,,
Malik Davis,1034,134,301,RB,318,584,429.66,271,-2.64,NA,NA,NA,NA,,,,,,
Cordarrelle Patterson,849,214,325,RB,307,531.5,421.41,272,-8.25,2013,1,29,DirtyDan113,,,,,,
Devin Duvernay,1119,70,289,WR,330,594.5,415.47,273,-5.94,2020,3,92,NA,,,,,,
Albert Okwuegbunam,1165,45,284,TE,336,605,414.15,274,-1.32,2020,4,118,DirtyDan113,,,,,,
Noah Gray,1155,50,285,TE,334,602.5,414.15,275,0,2021,5,162,The Serle Brothers,,,,,,
Jameis Winston,1092,60,293,QB,331,576,399.96,276,-14.19,2015,1,1,NA,,,,,,
Zack Moss,793,191,335,RB,312,492,387.75,277,-12.21,2020,3,86,DirtyDan113,,,,,,
Hassan Haskins,1010,81,304,RB,329,545.5,386.76,278,-0.99,2022,4,131,The Scene Worships Me,,,,,,
Brenton Strange,802,181,334,TE,313,491.5,384.12,279,-2.64,NA,NA,NA,NA,,,,,,
Chase Edmonds,898,112,317,RB,322,505,370.26,280,-13.86,2018,4,134,NA,,,,,,
Ty Chandler,865,125,324,RB,320,495,367.95,281,-2.31,2022,5,169,NA,,,,,,
Chris Rodriguez,881,94,323,RB,326,487.5,352.77,282,-15.18,NA,NA,NA,NA,,,,,,
Austin Hooper,744,125,346,TE,321,434.5,328.02,283,-24.75,2016,3,81,HorseWomen of Color,,,,,,
Nyheim Hines,958,13,309,RB,345,485.5,324.72,284,-3.3,2018,4,104,NA,,,,,,
Russell Gage,955,7,310,WR,348,481,319.77,285,-4.95,2018,6,194,NA,,,,,,
Dorian Thompson-Robinson,849,53,326,QB,332,451,315.15,286,-4.62,NA,NA,NA,NA,,,,,,
Marcus Mariota,509,220,379,QB,305,364.5,313.17,287,-1.98,2015,1,2,NA,,,,,,
Jalen Tolbert,897,17,319,WR,343,457,307.23,288,-5.94,2022,3,88,The Millennium Beer,,,,,,
Charlie Jones,355,284,418,WR,294,319.5,304.59,289,-2.64,NA,NA,NA,A Team of Chance,,,,,,
Zack Kuntz,843,29,327,TE,339,436,297.33,290,-7.26,NA,NA,NA,NA,,,,,,
Jake Haener,520,152,377,QB,316,336,271.92,291,-25.41,NA,NA,NA,NA,,,,,,
Isaiah McKenzie,823,0,331,WR,350,411.5,271.59,292,-0.33,2017,5,172,The Scene Worships Me,,,,,,
Calvin Austin,771,12,341,WR,346,391.5,262.35,293,-9.24,NA,NA,NA,NA,,,,,,
Jordan Mason,758,8,343,RB,347,383,255.42,294,-6.93,NA,NA,NA,NA,,,,,,
Dontayvion Wicks,687,36,352,WR,338,361.5,250.47,295,-4.95,NA,NA,NA,NA,,,,,,
DeVante Parker,632,53,358,WR,333,342.5,243.54,296,-6.93,2015,1,14,NA,,,,,,
Jarrett Stidham,666,18,354,QB,341,342,231.66,297,-11.88,2019,4,133,The Millennium Beer,,,,,,
Clayton Tune,320,157,424,QB,315,238.5,209.22,298,-22.44,NA,NA,NA,NA,,,,,,
Marvin Jones,531,16,373,WR,344,273.5,185.79,299,-23.43,2012,5,166,NA,,,,,,
Andy Dalton,227,107,442,QB,324,167,145.53,300,-40.26,2011,2,35,HorseWomen of Color,,,,,,
Latavius Murray,297,19,428,RB,340,158,110.55,301,-34.98,2013,6,181,NA,,,,,,
Colt McCoy,0,2,479,QB,349,1,1.32,302,-109.23,2010,3,85,NA,,,,,,
