player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name
Malik Willis,1116,332,268,QB,283,724,587.4000000000001,240,-0.32999999999992724,2022,3,86,Howling for Chubb
Pierre Strong Jr.,957,360,286,RB,280,658.5,553.4100000000001,241,-33.99000000000001,NA,NA,NA,A Team of Chance
Kyren Williams,1130,272,267,RB,295,701,552.4200000000001,242,-0.9900000000000092,2022,5,164,NA
Keaontay Ingram,1063,305,273,RB,287,684,552.09,243,-0.3300000000000409,2022,6,201,JoJos Bizzare Massage
Deneric Prince,1166,245,262,RB,300,705.5,546.48,244,-5.610000000000014,NA,NA,NA,NA
Kenny McIntosh,1085,285,272,RB,293,685,546.1500000000001,245,-0.32999999999992724,NA,NA,NA,NA
Kayshon Boutte,1131,246,265,WR,299,688.5,535.59,246,-10.56000000000006,NA,NA,NA,A Team of Chance
Tyler Conklin,865,346,295,TE,281,605.5,513.81,247,-21.780000000000086,2018,5,157,Howling for Chubb
Bailey Zappe,990,268,282,QB,297,629,503.58,248,-10.22999999999996,2022,4,137,A Team of Chance
Tyler Huntley,873,326,294,QB,284,599.5,503.25,249,-0.3299999999999841,NA,NA,NA,A Team of Chance
Xavier Hutchinson,1232,134,255,WR,317,683,495,250,-8.25,NA,NA,NA,NA
Leonard Fournette,726,381,320,RB,278,553.5,491.04,251,-3.959999999999979,2017,1,4,Howling for Chubb
Dorian Thompson-Robinson,1165,157,263,QB,314,661,488.0700000000001,252,-2.9699999999999704,NA,NA,NA,NA
Gardner Minshew,826,316,302,QB,285,571,481.14,253,-6.930000000000007,NA,NA,NA,JoJos Bizzare Massage
Calvin Austin,1031,209,279,WR,306,620,478.17,254,-2.9700000000000273,NA,NA,NA,NA
Greg Dortch,1203,94,258,WR,322,648.5,459.03,255,-19.139999999999983,NA,NA,NA,The Scene Worships Me
Robert Woods,765,310,315,WR,286,537.5,457.05000000000007,256,-1.9799999999999611,2013,2,41,A Team of Chance
Jacoby Brissett,899,241,290,QB,302,570,455.73,257,-1.32000000000005,2016,3,91,Pablo and the Stallions
A.T. Perry,1059,153,275,WR,315,606,450.4500000000001,258,-5.279999999999973,NA,NA,NA,NA
Malik Davis,1021,158,280,RB,313,589.5,441.21,259,-9.240000000000007,NA,NA,NA,NA
Richie James,957,173,285,WR,310,565,429.99,260,-11.220000000000027,2018,7,240,NA
Cordarrelle Patterson,789,243,308,RB,301,516,420.75,261,-9.240000000000007,2013,1,29,DirtyDan113
Zack Moss,808,222,306,RB,304,515,413.16,262,-7.590000000000032,2020,3,86,DirtyDan113
Tucker Kraft,1061,90,274,TE,323,575.5,409.53,263,-3.629999999999995,NA,NA,NA,The Serle Brothers
Corey Davis,893,167,292,WR,311,530,404.91,264,-4.6200000000000045,2017,1,5,NA
Joshua Kelley,802,181,307,RB,309,491.5,384.12,265,-20.789999999999964,2020,4,112,Pablo and the Stallions
Eric Gray,1002,73,281,RB,326,537.5,378.84,266,-5.279999999999973,NA,NA,NA,A Team of Chance
Taylor Heinicke,710,208,321,QB,307,459,371.58,267,-7.259999999999991,NA,NA,NA,NA
DeVante Parker,823,149,304,WR,316,486,369.93000000000006,268,-1.6499999999999773,2015,1,14,NA
Mike White,521,295,349,QB,290,408,366.63,269,-3.300000000000068,2018,5,171,A Team of Chance
David Bell,975,65,284,WR,327,520,364.65,270,-1.9800000000000184,2022,3,99,Kissy Boy Jones
Allen Robinson,658,221,328,WR,305,439.5,363,271,-1.6499999999999773,2014,2,61,HorseWomen of Color
Davis Mills,752,160,318,QB,312,456,353.76000000000005,272,-9.239999999999952,2021,3,67,NA
Kyle Philips,852,102,298,WR,319,477,348.48,273,-5.28000000000003,2022,5,163,The Millennium Beer
Zonovan Knight,831,100,301,RB,320,465.5,340.23,274,-8.25,NA,NA,NA,NA
Chris Rodriguez,982,3,283,RB,346,492.5,326.04,275,-14.189999999999998,NA,NA,NA,NA
Taysom Hill,609,186,333,TE,308,397.5,323.73,276,-2.3100000000000023,NA,NA,NA,NA
Aidan O'Connell,774,74,310,QB,325,424,304.26,277,-19.470000000000027,NA,NA,NA,NA
Noah Gray,893,13,291,TE,345,453,303.27,278,-0.9900000000000092,2021,5,162,The Serle Brothers
Laviska Shenault,861,25,296,WR,341,443,300.63,279,-2.6399999999999864,NA,NA,NA,The Scene Worships Me
Jordan Mason,648,126,330,RB,318,387,297,280,-3.629999999999995,NA,NA,NA,NA
Jalen Tolbert,860,18,297,WR,343,439,295.68,281,-1.3199999999999932,2022,3,88,The Millennium Beer
Foster Moreau,784,44,309,TE,333,414,287.76000000000005,282,-7.919999999999959,2019,4,137,NA
Denzel Mims,760,42,316,WR,334,401,278.52000000000004,283,-9.240000000000007,2020,2,59,NA
Clayton Tune,773,35,311,QB,336,404,278.19,284,-0.3300000000000409,NA,NA,NA,NA
Demario Douglas,767,32,313,WR,337,399.5,274.23,285,-3.959999999999979,NA,NA,NA,NA
Jameis Winston,698,45,323,QB,331,371.5,260.04,286,-14.189999999999998,2015,1,1,NA
James Robinson,332,223,398,RB,303,277.5,256.74,287,-3.3000000000000114,NA,NA,NA,DirtyDan113
Ke'Shawn Vaughn,672,44,327,RB,332,358,250.8,288,-5.939999999999998,2020,3,76,NA
Colt McCoy,184,273,459,QB,294,228.5,240.9,289,-9.900000000000006,2010,3,85,NA
Chase Edmonds,633,42,332,RB,335,337.5,236.61,290,-4.289999999999992,2018,4,134,NA
Mack Hollins,543,80,344,WR,324,311.5,231.99,291,-4.6200000000000045,2017,4,118,NA
Rico Dowdle,578,45,339,RB,330,311.5,220.44,292,-11.550000000000011,NA,NA,NA,NA
Austin Hooper,497,26,354,TE,340,261.5,181.17,293,-39.26999999999998,2016,3,81,HorseWomen of Color
Robert Tonyan,376,63,379,TE,328,219.5,165.66000000000005,294,-15.509999999999993,NA,NA,NA,NA
Marvin Jones,397,29,372,WR,338,213,150.15000000000003,295,-15.509999999999993,2012,5,166,NA
Matt Breida,372,28,380,RB,339,200,141.24,296,-8.910000000000025,NA,NA,NA,NA
Marcus Mariota,238,61,444,QB,329,149.5,118.8,297,-22.44,2015,1,2,NA
Logan Thomas,274,17,427,TE,344,145.5,101.64,298,-17.16000000000001,2014,4,120,NA
Latavius Murray,250,0,436,RB,348,125,82.5,299,-19.14,2013,6,181,NA
Kenyan Drake,173,2,465,RB,347,87.5,58.41,300,-24.089999999999996,2016,3,73,NA
Melvin Gordon,79,23,481,RB,342,51,41.25,301,-17.160000000000004,2015,1,15,NA
Andy Dalton,0,0,489,QB,349,0,0,302,-41.25,2011,2,35,HorseWomen of Color
