player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name
Desmond Ridder,3011,1493,128,QB,131,2252,1979.01,112,-25.080000000000155,2022,3,74,The Millennium Beer
Rashod Bateman,3010,1493,129,WR,130,2251.5,1978.68,113,-0.32999999999992724,2021,1,27,The Serle Brothers
Mike Williams,3325,1332,108,WR,141,2328.5,1976.37,114,-2.310000000000173,2017,1,7,Kissy Boy Jones
Skyy Moore,3234,1345,114,WR,140,2289.5,1954.92,115,-21.449999999999815,2022,2,54,HorseWomen of Color
Tyler Lockett,2872,1525,134,WR,124,2198.5,1954.26,116,-0.6600000000000819,2015,3,69,Howling for Chubb
Dalvin Cook,2790,1490,139,RB,132,2140,1904.1,117,-50.159999999999854,2017,2,41,Kissy Boy Jones
Khalil Herbert,3032,1362,126,RB,139,2197,1899.48,118,-4.620000000000118,2021,6,217,Kissy Boy Jones
James Conner,2763,1467,141,RB,137,2115,1880.01,119,-19.4699999999998,2017,3,105,Kissy Boy Jones
Trey Lance,2613,1509,149,QB,128,2061,1858.23,120,-21.7800000000002,2021,1,3,The Millennium Beer
Jonathan Mingo,3041,1294,125,WR,143,2167.5,1857.57,121,-0.6599999999998545,NA,NA,NA,The Serle Brothers
Gabriel Davis,2920,1267,133,WR,147,2093.5,1799.8200000000002,122,-57.75,2020,4,128,Howling for Chubb
Michael Mayer,2986,1232,131,TE,154,2109,1798.5,123,-1.3200000000001637,NA,NA,NA,Kissy Boy Jones
Evan Engram,2974,1236,132,TE,152,2105,1797.18,124,-1.3199999999999363,2017,1,23,Kissy Boy Jones
Tank Bigsby,3153,1136,117,RB,162,2144.5,1790.25,125,-6.930000000000064,NA,NA,NA,A Team of Chance
Roschon Johnson,2844,1289,136,RB,144,2066.5,1789.2600000000002,126,-0.9899999999997816,NA,NA,NA,HorseWomen of Color
Antonio Gibson,2850,1252,135,RB,148,2051,1766.8200000000002,127,-22.440000000000055,2020,3,66,The Serle Brothers
Brian Robinson,3020,1153,127,RB,160,2086.5,1757.58,128,-9.240000000000236,NA,NA,NA,DirtyDan113
Matthew Stafford,2264,1520,166,QB,125,1892,1750.3200000000002,129,-7.2599999999997635,NA,NA,NA,The Millennium Beer
Kadarius Toney,2706,1239,143,WR,151,1972.5,1710.72,130,-39.600000000000136,2021,1,20,Pablo and the Stallions
David Njoku,2697,1219,144,TE,155,1958,1694.5500000000002,131,-16.169999999999845,2017,1,29,The Serle Brothers
Jalin Hyatt,2650,1234,146,WR,153,1942,1688.94,132,-5.610000000000127,NA,NA,NA,Pablo and the Stallions
Jimmy Garoppolo,2124,1480,176,QB,134,1802,1677.7200000000005,133,-11.2199999999998,2014,2,62,Howling for Chubb
Romeo Doubs,2827,1094,137,WR,165,1960.5,1654.9500000000005,134,-22.769999999999985,2022,4,132,Kissy Boy Jones
Will Levis,2391,1270,156,QB,146,1830.5,1627.23,135,-27.720000000000255,NA,NA,NA,JoJos Bizzare Massage
JuJu Smith-Schuster,2351,1241,160,WR,150,1796,1594.89,136,-32.33999999999992,2017,2,62,Howling for Chubb
Cole Kmet,2615,1100,148,TE,164,1857.5,1588.95,137,-5.940000000000055,2020,2,43,JoJos Bizzare Massage
Courtland Sutton,2343,1193,161,WR,156,1768,1560.5700000000002,138,-28.37999999999988,2018,2,40,HorseWomen of Color
Marvin Mims,2808,955,138,WR,182,1881.5,1556.94,139,-3.630000000000109,NA,NA,NA,The Millennium Beer
Brandin Cooks,2384,1160,157,WR,159,1772,1552.3200000000002,140,-4.619999999999891,2014,1,20,HorseWomen of Color
Greg Dulcich,2608,1026,150,TE,172,1817,1537.8000000000002,141,-14.519999999999982,2022,3,80,JoJos Bizzare Massage
Rashaad Penny,2054,1271,180,RB,145,1662.5,1516.68,142,-21.12000000000012,2018,1,27,DirtyDan113
Chigoziem Okonkwo,2566,1003,151,TE,174,1784.5,1508.7600000000002,143,-7.919999999999845,2022,4,143,The Scene Worships Me
Nico Collins,2416,998,155,WR,175,1707,1455.96,144,-52.80000000000018,2021,3,89,A Team of Chance
Rashee Rice,2641,872,147,WR,192,1756.5,1447.0500000000002,145,-8.909999999999854,NA,NA,NA,Howling for Chubb
John Metchie,2507,926,152,WR,185,1716.5,1438.4700000000005,146,-8.579999999999927,NA,NA,NA,The Scene Worships Me
Luke Musgrave,2339,977,162,TE,178,1658,1416.69,147,-21.7800000000002,NA,NA,NA,The Millennium Beer
Jayden Reed,2357,966,159,WR,180,1661.5,1415.37,148,-1.3199999999999363,NA,NA,NA,The Serle Brothers
Jakobi Meyers,2138,1035,173,WR,170,1586.5,1388.64,149,-26.730000000000015,NA,NA,NA,Pablo and the Stallions
Jamaal Williams,2125,1039,175,RB,169,1582,1386.99,150,-1.650000000000091,2017,4,134,Kissy Boy Jones
Josh Downs,2423,863,154,WR,194,1643,1369.17,151,-17.819999999999936,NA,NA,NA,JoJos Bizzare Massage
Darnell Mooney,2266,928,165,WR,184,1597,1360.2600000000002,152,-8.909999999999854,2020,5,173,DirtyDan113
Tyjae Spears,2364,878,158,RB,191,1621,1359.6,153,-0.6600000000003092,NA,NA,NA,Pablo and the Stallions
Tyler Allgeier,2262,916,167,RB,186,1589,1351.02,154,-8.579999999999927,2022,5,151,Howling for Chubb
Alec Pierce,2239,916,169,WR,187,1577.5,1343.43,155,-7.589999999999918,2022,2,53,Pablo and the Stallions
Dalton Schultz,2189,911,172,TE,188,1550,1323.63,156,-19.799999999999955,2018,4,137,The Scene Worships Me
Kenneth Gainwell,2034,965,181,RB,181,1499.5,1308.12,157,-15.510000000000218,2021,5,150,The Millennium Beer
Michael Thomas,1909,1025,187,WR,173,1467,1306.47,158,-1.6499999999998636,2016,2,47,HorseWomen of Color
Rondale Moore,2229,823,170,WR,204,1526,1278.75,159,-27.720000000000027,2021,2,49,Howling for Chubb
Damien Harris,1880,969,189,RB,179,1424.5,1259.94,160,-18.809999999999945,2019,3,87,A Team of Chance
Ryan Tannehill,1690,1056,211,QB,168,1373,1254.66,161,-5.279999999999973,2012,1,8,The Scene Worships Me
Trey McBride,2249,744,168,TE,219,1496.5,1233.21,162,-21.450000000000045,2022,2,55,The Serle Brothers
Jaylen Warren,2070,831,178,RB,202,1450.5,1231.56,163,-1.650000000000091,NA,NA,NA,The Serle Brothers
Wan'Dale Robinson,2100,812,177,WR,205,1456,1228.92,164,-2.6399999999998727,2022,2,43,The Millennium Beer
Ezekiel Elliott,1547,1067,222,RB,167,1307,1214.73,165,-14.190000000000056,2016,1,4,DirtyDan113
Tyler Boyd,1869,902,191,WR,190,1385.5,1212.09,166,-2.6399999999998727,2016,2,55,Kissy Boy Jones
Zamir White,1927,860,183,RB,195,1393.5,1203.5100000000002,167,-8.579999999999927,2022,4,122,HorseWomen of Color
Samaje Perine,1910,858,186,RB,197,1384,1196.58,168,-6.930000000000291,2017,4,114,The Serle Brothers
Elijah Mitchell,2007,757,182,RB,217,1382,1161.93,169,-34.649999999999864,2021,6,194,DirtyDan113
Michael Gallup,1851,828,194,WR,203,1339.5,1157.31,170,-4.620000000000118,2018,3,81,HorseWomen of Color
D.J. Chark,1916,794,185,WR,209,1355,1156.3200000000002,171,-0.9899999999997816,2018,2,61,Pablo and the Stallions
Isaiah Likely,2126,668,174,TE,235,1397,1142.46,172,-13.860000000000127,2022,4,139,HorseWomen of Color
Justyn Ross,1919,758,184,WR,216,1338.5,1133.55,173,-8.910000000000082,NA,NA,NA,The Millennium Beer
Rashid Shaheed,1811,796,198,WR,208,1303.5,1122.99,174,-10.559999999999944,NA,NA,NA,The Millennium Beer
Irv Smith Jr.,1681,858,212,TE,196,1269.5,1121.01,175,-1.9800000000000184,2019,2,50,Pablo and the Stallions
Allen Lazard,1866,760,192,WR,215,1313,1117.38,176,-3.6299999999998818,NA,NA,NA,DirtyDan113
Jerome Ford,1796,787,201,RB,211,1291.5,1112.1,177,-5.279999999999973,2022,5,156,The Scene Worships Me
Chase Claypool,1619,845,219,WR,199,1232,1091.97,178,-20.13000000000011,2020,2,49,The Scene Worships Me
Baker Mayfield,1582,852,220,QB,198,1217,1084.38,179,-7.589999999999918,2018,1,1,HorseWomen of Color
Hendon Hooker,1884,693,188,QB,229,1288.5,1079.1,180,-5.2800000000002,NA,NA,NA,Howling for Chubb
Dawson Knox,1704,767,207,TE,213,1235.5,1068.54,181,-10.559999999999944,2019,3,96,Pablo and the Stallions
Odell Beckham,1800,707,200,WR,226,1253.5,1060.62,182,-7.920000000000073,NA,NA,NA,A Team of Chance
Jake Ferguson,1870,659,190,TE,240,1264.5,1052.04,183,-8.579999999999927,2022,4,129,JoJos Bizzare Massage
Michael Wilson,1834,663,196,WR,238,1248.5,1042.8000000000002,184,-9.239999999999782,NA,NA,NA,Kissy Boy Jones
Zay Jones,1720,711,205,WR,225,1215.5,1036.86,185,-5.940000000000055,2017,2,37,DirtyDan113
Deuce Vaughn,1830,642,197,RB,244,1236,1027.62,186,-9.240000000000236,NA,NA,NA,The Millennium Beer
